id,line_number,departure,arrival,line_type,pdf,status
1,1,49,27,2,20150709160023__location-de-stand.pdf,1
2,2,38,1,2,,1
3,3,49,3,2,,1
4,4,49,9,2,,1
5,5,49,13,2,,1
6,6,49,60,2,,1
7,23,843,1063,3,,1
8,23,1063,843,3,,1
9,23E,843,1141,3,,1
10,23E,1141,843,3,,1
11,23F,843,1129,3,,1
12,23F,1129,843,3,,1
14,23H,843,1144,3,,1
15,23H,1144,843,3,,1
16,23B,843,726,3,,1
17,23B,727,843,3,,1
18,23C,843,1187,3,,1
19,23C,1187,843,3,,1
20,23D,843,1202,3,,1
21,23D,1202,843,3,,1
22,23T,843,1014,3,,1
23,23T,1014,843,3,,1
24,32A,1019,636,3,,1
25,32A,636,1019,3,,1
26,32C,231,593,3,,1
27,32C,593,231,3,,1
28,32D,231,594,3,,1
29,32D,595,231,3,,1
30,33,231,671,3,,1
31,33,671,231,3,,1
32,33A,231,687,3,,1
33,33A,687,231,3,,1
34,33A/,231,688,3,,1
35,33A/,688,231,3,,1
36,33B,231,691,3,,1
37,33B,691,231,3,,1
38,33C,231,690,3,,1
39,33C,690,231,3,,1
40,34,231,763,3,,1
41,34,763,231,3,,1
42,34A,231,734,3,,1
43,34A,734,231,3,,1
44,61,843,734,3,,1
45,61,734,843,3,,1
46,71,283,593,3,,1
47,71,593,283,3,,1
48,87,231,764,3,,1
49,87,764,231,3,,1
50,88,231,869,3,,1
51,88,869,231,3,,1
52,88A,231,884,3,,1
53,88A,884,231,3,,1
54,89,231,783,3,,1
55,89,783,231,3,,1
56,90,843,1210,3,,1
57,90,1210,843,3,,1
58,91,843,1223,3,,1
59,91,1223,843,3,,1
60,92,843,1238,3,,1
61,92,1238,843,3,,1
62,36,1252,1567,3,,1
68,9B,306,621,3,,1
69,10,283,305,3,,1
70,10B,306,319,3,,1
71,10C,306,329,3,,1
72,10C,329,306,3,,1
73,104,1292,1252,3,,1
74,104,1252,1292,3,,1
75,9B,621,306,3,,1
79,10 (R),305,283,3,,1
81,10B (R),319,306,3,,1
82,17B,306,393,3,,1
83,17,306,388,3,,1
84,32,1239,231,3,,1
85,17,388,306,3,,1
86,32,231,1239,3,,1
88,65,1588,1239,3,,1
90,65,1240,1588,3,,1
91,79,1588,1487,3,,1
92,3d,1589,1254,3,,1
93,44,1590,1395,3,,1
94,79,1487,1588,3,,1
95,17A,314,404,3,,1
96,17A,404,314,3,,1
97,32 B,1592,231,3,,1
99,17B,393,306,3,,1
100,32 B,231,1592,3,,1
101,19,306,425,3,,1
102,19,425,306,3,,1
103,19A,306,450,3,,1
104,19A,450,306,3,,1
105,19C,319,306,3,,1
107,19C,306,319,3,,1
108,78,1588,1349,3,,1
109,19D,363,306,3,,1
110,19D,306,363,3,,1
111,78,1349,1588,3,,1
112,42,1589,1399,3,,1
113,42,1589,1399,3,,1
114,42,1589,1399,3,,1
115,19E,306,450,3,,1
116,19E,450,306,3,,1
117,42,1589,1399,3,,1
119,4 A,231,1303,3,,1
120,14c,1589,1529,3,,1
121,4 A,1303,231,3,,1
122,19G,581,319,3,,1
124,21,1613,979,3,,1
125,21A,1613,1117,3,,1
126,21B,1613,1161,3,,1
127,22,306,472,3,,1
128,43 B,1252,1561,3,,1
129,22,472,306,3,,1
130,22A,306,476,3,,1
131,72,1588,1527,3,,1
132,22A,476,306,3,,1
134,14CG,804,1529,3,,1
135,43 B,1561,1252,3,,1
136,31A,1589,1377,3,,1
137,36 B,1611,1567,3,,1
138,36 B,1567,1611,3,,1
139,22G,296,581,3,,1
140,22G,581,296,3,,1
141,11,1252,1644,3,,1
142,11,1644,1252,3,,1
143,24,477,501,3,,1
144,24/,477,539,3,,1
145,12,231,1314,3,,1
149,24A,477,504,3,,1
151,12,1314,231,3,,1
152,16c,1516,1589,3,,1
153,24F,477,659,3,,1
154,24D,477,553,3,,1
155,15,231,1649,3,,1
157,15,1650,231,3,,1
158,514A,1655,1529,3,,1
159,94,843,1399,3,,1
160,24E,477,1662,3,,1
161,15 A,1663,231,3,,1
162,25,283,979,3,,1
163,15 A,231,1663,3,,1
164,15 B,1666,231,3,,1
166,15 B,231,1666,3,,1
167,25A,658,283,3,,1
168,25A,283,659,3,,1
169,25,979,283,3,,1
170,25B,1068,283,3,,1
171,25B,283,1068,3,,1
173,25D,283,1069,3,,1
174,25D,1069,283,3,,1
175,25C,960,283,3,,1
176,25C,283,960,3,,1
177,31C/,1655,1375,3,,1
178,31,1589,1382,3,,1
179,31c,1589,1372,3,,1
180,116,1019,1399,3,,1
181,26,306,1613,3,,1
182,26A,306,1613,3,,1
183,29,523,306,3,,1
184,29,306,523,3,,1
185,37,905,1613,3,,1
186,39,526,535,3,,1
187,54,853,450,3,,1
188,54A,501,450,3,,1
189,16B,1292,1399,3,,1
191,16A,249,398,3,,1
192,48,843,1529,3,,1
193,44D,1655,256,3,,1
194,1 (BIS),49,27,2,,0
195,44D (BIS),1655,256,3,,1
196,44D RETOUR,256,1655,3,,1
198,26 (R),1613,306,3,,1
199,26A (R),1613,306,3,,1
201,37 (R),1613,905,3,,1
202,54 (R),450,853,3,,1
203,54A (R),450,501,3,,1
204,54/,539,450,3,,1
205,54/ (R),450,539,3,,1
206,26B,306,1613,3,,1
207,26B (R),1613,306,3,,1
208,26C,621,1613,3,,1
209,26C (R) ,1613,621,3,,1
210,19G (R),319,581,3,,1
211,39 (R),535,526,3,,1
212,21 (R),979,1613,3,,1
213,21A (R),1117,1613,3,,1
214,21B (R),1161,1613,3,,1
215,24 (R),501,477,3,,1
216,24/ (R),539,477,3,,1
217,24A (R),504,477,3,,1
218,24D (R),553,477,3,,1
219,24E (R),1662,477,3,,1
220,24F (R),659,477,3,,1
221,54B,853,472,3,,1
222,54B (R),472,853,3,,1
223,54C,472,450,3,,1
224,54C (R),450,472,3,,1
225,54D,853,464,3,,1
226,54D (R),464,853,3,,1
227,59A,306,555,3,,1
228,59A (R),555,306,3,,1
229,60,306,580,3,,1
230,60 (R),580,306,3,,1
231,60A,581,580,3,,1
233,60A (R),580,581,3,,1
234,60G,581,580,3,,1
235,60G (R) ,580,581,3,,1
236,69,283,1682,3,,1
237,69 (R),1682,283,3,,1
238,74,1252,853,3,,1
239,74 (R),853,1252,3,,1
240,74B,581,853,3,,1
241,74B (R),853,581,3,,1
242,74G,581,853,3,,1
243,74G (R),853,581,3,,1
244,75,306,1073,3,,1
245,75 (R),1073,306,3,,1
246,81,555,853,3,,1
247,81 (R),853,555,3,,1
248,81A,555,853,3,,1
249,81A (R),853,555,3,,1
250,81B,798,853,3,,1
251,81B (R),853,798,3,,1
253,82,49,1073,3,,1
254,82 (R),1073,49,3,,1
255,84,1027,501,3,,1
256,84 (R),501,1027,3,,1
257,85,1034,1073,3,,1
258,85 (R),1073,1034,3,,1
259,86,477,1027,3,,1
260,86 (R),1027,477,3,,1
261,714,49,994,3,,1
262,714 (R),994,49,3,,1
263,3710,304,905,3,,1
264,3710 (R),905,304,3,,1
265,410B,304,1279,3,,1
267,410B (R),1279,304,3,,1
268,24H,477,688,3,,1
269,24H (R),688,477,3,,1
271,104 (R),1252,1292,3,,1
272,44b,1590,1370,3,,1
274,44b  (R),1370,1590,3,,1
275,104 (BIS),1252,1292,3,,0
276,10  (BIS),305,283,3,,0
277,1 (BIS) (BIS),49,27,2,,0
