id,label_fr,description_fr,label_en,description_en,label_ar,description_ar,marker,image,longitude,latitude,station_type,station_level,status
1,ARIANA,,ARIANA,,ARIANA,,5,,10.19748,36.85979,2,1,1
2,ETTAHRIR,,ETTAHRIR,,ETTAHRIR,,5,,10.12862,36.82918,2,1,1
3,IBN KHALDOUN,,IBN KHALDOUN,,IBN KHALDOUN,,5,,10.13411,36.83083,2,1,1
4,LES JASMINS,,LES JASMINS,,LES JASMINS,,5,,10.13454,36.82588,2,1,1
5,14 JANVIER 2014,,14 JANVIER 2014,,14 JANVIER 2014,,5,,10.13986,36.82289,2,1,1
6,CAMPUS,,CAMPUS,,CAMPUS,,5,,10.14385,36.82605,2,1,1
7,ROMANA,,ROMANA,,ROMANA,,5,,10.15085,36.82365,2,1,1
8,MEFTAH SADALLAH,,MEFTAH SADALLAH,,MEFTAH SADALLAH,,5,,10.15626,36.81320,2,1,1
9,COMPUS MANOUBA,,COMPUS MANOUBA,,COMPUS MANOUBA,,5,,10.05981,36.81396,2,1,1
10,PALAIS OUARDIA,,PALAIS OUARDIA,,PALAIS OUARDIA,,5,,10.07461,36.80920,2,1,1
11,TECHNOPOLE,,TECHNOPOLE,,TECHNOPOLE,,5,,10.08053,36.80811,2,1,1
12,ETTADHAMOUN,,ETTADHAMOUN,,ETTADHAMOUN,,5,,10.11759,36.83584,2,1,1
13,CITE EL INTILAKA,,CITE EL INTILAKA,,CITE EL INTILAKA,,5,,10.11695,36.83935,2,1,1
14,L'INDEPENDANCE,,L'INDEPENDANCE,,L'INDEPENDANCE,,5,,10.19591,36.85441,2,1,1
15,EL FEL,,EL FEL,,EL FEL,,5,,10.19237,36.84699,2,1,1
17,CITE SPORTIVE,,CITE SPORTIVE,,CITE SPORTIVE,,5,,10.18196,36.83852,2,1,1
18,CITE DES JEUNES,,CITE DES JEUNES,,CITE DES JEUNES,,5,,10.18277,36.83329,2,1,1
19,CITE EL KHADRA,,CITE EL KHADRA,,CITE EL KHADRA,,5,,10.19037,36.82923,2,1,1
20,LES JARDINS,,LES JARDINS,,LES JARDINS,,5,,10.18556,36.82346,2,1,1
21,PALESTINE,,PALESTINE,,PALESTINE,,5,,10.182062883606022,36.82001322691461,2,1,1
22,MOHAMED V,,MOHAMED V,,MOHAMED V,,5,,10.183576238098112,36.8156851475049,2,1,1
23,NELSON MANDELLA,,NELSON MANDELLA,,NELSON MANDELLA,,5,,10.183332476196256,36.812484334743104,2,1,1
24,ERRAZI,,ERRAZI,,ERRAZI,,5,,10.08247,36.80739,2,1,1
25,MONCEF BEY,,MONCEF BEY,,MONCEF BEY,,5,,10.09065,36.80528,2,1,1
26,SLIMANE KAHIA,,SLIMANE KAHIA,,SLIMANE KAHIA,,5,,10.09908,36.80334,2,1,1
27,BEN AROUS,,BEN AROUS,,BEN AROUS,,5,,10.21898,36.75540,2,1,1
28,ABOUL KACEM ECHEBBI,,ABOUL KACEM ECHEBBI,,ABOUL KACEM ECHEBBI,,5,,10.21474,36.75246,2,1,1
29,CITE ENNOUR,,CITE ENNOUR,,CITE ENNOUR,,5,,10.20473,36.75150,2,1,1
30,OUARDIA 6,,OUARDIA 6,,OUARDIA 6,,5,,10.19906,36.75424,2,1,1
31,IBN SINA,,IBN SINA,,IBN SINA,,5,,10.19393,36.75428,2,1,1
32,KABARIA,,KABARIA,,KABARIA,,5,,10.19059,36.75978,2,1,1
33,MOUHAMED ALI,,MOUHAMED ALI,,MOUHAMED ALI,,5,,10.18388,36.76788,2,1,1
34,13 AOUT,,13 AOUT,,13 AOUT,,5,,10.17920,36.77504,2,1,1
35,MOHAMED MANACHOU,,MOHAMED MANACHOU,,MOHAMED MANACHOU,,5,,10.17984,36.78210,2,1,1
36,BEB ALIOUA,,BEB ALIOUA,,BEB ALIOUA,,5,,10.179812507934571,36.78580673733973,2,1,1
37,HABIB THAMER,,HABIB THAMER,,HABIB THAMER,,5,,10.17864,36.80131,2,1,1
38,STATION REPUBLIQUE,,STATION REPUBLIQUE,,STATION REPUBLIQUE,,5,,10.18081,36.80649,2,2,1
39,DEN DEN,,DEN DEN,,DEN DEN,,5,,10.11075,36.80221,2,1,1
40,ARTISANAT,,ARTISANAT,,ARTISANAT,,5,,10.11601,36.80293,2,1,1
41,KHAZNADAR,,KHAZNADAR,,KHAZNADAR,,5,,10.12177,36.80421,2,1,1
42,SAIDIA,,SAIDIA,,SAIDIA,,5,,10.12664,36.80541,2,1,1
43,BARDO,,BARDO,,BARDO,,5,,10.13523,36.80724,2,1,1
44,20 MARS,,20 MARS,,20 MARS,,5,,10.14238,36.80835,2,1,1
45,BOUCHOUCHA,,BOUCHOUCHA,,BOUCHOUCHA,,5,,10.15026,36.80953,2,1,1
46,BA SAADOUN,,BA SAADOUN,,BA SAADOUN,,5,,10.16219,36.80986,2,1,1
47,BAB LASAAL,,BAB LASAAL,,BAB LASAAL,,5,,10.16817,36.81331,2,1,1
48,BEB EL KHADHRA,,BEB EL KHADHRA,,BEB EL KHADHRA,,5,,10.17239,36.81030,2,1,1
49,Barcelone,,Barcelone,,Barcelone,,5,,10.180552476196226,36.79610888579611,2,2,1
50,Tahar Haddad,,Tahar Haddad,,Tahar Haddad,,5,,10.187015915344205,36.76065046896195,2,1,1
51,Ghazeli,,Ghazeli,,Ghazeli,,5,,10.187659645507779,36.75466788779831,2,1,1
52,Cité municipale,,Cité municipale,,Cité municipale,,5,,10.188732529113736,36.748444132966,2,1,1
53,Ennesri,,Ennesri,,Ennesri,,5,,10.190492058227505,36.74517731928656,2,1,1
54,El Montazah,,El Montazah,,El Montazah,,5,,10.193195724914517,36.742907661596334,2,1,1
55,El Mourouj 2,,El Mourouj 2,,El Mourouj 2,,5,,10.197744751403775,36.74218548370951,2,1,1
56,El Mourouj 1,,El Mourouj 1,,El Mourouj 1,,5,,10.206570364929235,36.73854050957815,2,1,1
57,Environnement,,Environnement,,Environnement,,5,,10.210389830566442,36.73310650479135,2,1,1
58,El Mourouj 3,,El Mourouj 3,,El Mourouj 3,,5,,10.210733153320348,36.72870399104455,2,1,1
59,Martyrs,,Martyrs,,Martyrs,,5,,10.212106444335973,36.723647667753255,2,1,1
60,El Mourouj 4,,El Mourouj 4,,El Mourouj 4,,5,,10.216397978759801,36.71965740892696,2,1,1
228,BAB SADOUN,,BAB SADOUN,,باب سعدون,,3,,10.153218715859111,36.8097562130748,3,2,1
229,BARDO-ALLER,,BARDO-GO,,باردو-ذهاب,,3,,10.138723119962378,36.807772260842626,3,1,1
231,JARDIN THAMEUR,,JARDIN THAMEUR,,حديقة ثامر,,3,,10.17809218246839,36.803733581002334,3,2,1
